"","Year","Team","ThreeOrTwo","FGA"
"453",2010,"Charlotte Bobcats","THREEPA",16.2
"454",2010,"Detroit Pistons","THREEPA",14.5
"455",2010,"New Jersey Nets","THREEPA",14.5
"456",2010,"League Average","THREEPA",18.1
"457",2011,"Denver Nuggets","THREEPA",20.8
"458",2011,"New York Knicks","THREEPA",25.4
"459",2011,"Houston Rockets","THREEPA",22.5
"460",2011,"Phoenix Suns","THREEPA",22.6
"461",2011,"Oklahoma City Thunder","THREEPA",17.1
"462",2011,"San Antonio Spurs","THREEPA",21.1
"463",2011,"Golden State Warriors","THREEPA",21.3
"464",2011,"Miami Heat","THREEPA",18
"465",2011,"Los Angeles Lakers","THREEPA",18.1
"466",2011,"Minnesota Timberwolves","THREEPA",19.1
"467",2011,"Dallas Mavericks","THREEPA",21.6
"468",2011,"Memphis Grizzlies","THREEPA",11.3
"469",2011,"Indiana Pacers","THREEPA",20.2
"470",2011,"Utah Jazz","THREEPA",15.3
"471",2011,"Sacramento Kings","THREEPA",15.6
"472",2011,"Orlando Magic","THREEPA",25.6
"473",2011,"Toronto Raptors","THREEPA",13.3
"474",2011,"Philadelphia 76ers","THREEPA",15.2
"475",2011,"Los Angeles Clippers","THREEPA",18.5
"476",2011,"Chicago Bulls","THREEPA",17.3
"477",2011,"Washington Wizards","THREEPA",14.4
"478",2011,"Detroit Pistons","THREEPA",15.3
"479",2011,"Boston Celtics","THREEPA",13.6
"480",2011,"Portland Trail Blazers","THREEPA",18.3
"481",2011,"Cleveland Cavaliers","THREEPA",18.2
"482",2011,"Atlanta Hawks","THREEPA",17.4
"483",2011,"New Orleans Hornets","THREEPA",15
"484",2011,"New Jersey Nets","THREEPA",16.3
"485",2011,"Charlotte Bobcats","THREEPA",14.7
"486",2011,"Milwaukee Bucks","THREEPA",17.2
"487",2011,"League Average","THREEPA",18
"488",2012,"Denver Nuggets","THREEPA",19.9
"489",2012,"San Antonio Spurs","THREEPA",21.3
"490",2012,"Oklahoma City Thunder","THREEPA",20
"491",2012,"Utah Jazz","THREEPA",12.8
"492",2012,"Milwaukee Bucks","THREEPA",19.2
"493",2012,"Sacramento Kings","THREEPA",19.7
"494",2012,"Miami Heat","THREEPA",15.6
"495",2012,"Phoenix Suns","THREEPA",19.6
"496",2012,"Houston Rockets","THREEPA",20.2
"497",2012,"Minnesota Timberwolves","THREEPA",21.6
"498",2012,"New York Knicks","THREEPA",23.3
"499",2012,"Golden State Warriors","THREEPA",20.5
"500",2012,"Indiana Pacers","THREEPA",16.1
"501",2012,"Los Angeles Clippers","THREEPA",21.8
"502",2012,"Los Angeles Lakers","THREEPA",16.8
"503",2012,"Portland Trail Blazers","THREEPA",20.9
"504",2012,"Atlanta Hawks","THREEPA",20.2
"505",2012,"Chicago Bulls","THREEPA",16.9
"506",2012,"Dallas Mavericks","THREEPA",22.2
"507",2012,"Memphis Grizzlies","THREEPA",12.9
"508",2012,"Orlando Magic","THREEPA",27
"509",2012,"Washington Wizards","THREEPA",16.3
"510",2012,"Philadelphia 76ers","THREEPA",14.6
"511",2012,"New Jersey Nets","THREEPA",22.4
"512",2012,"Cleveland Cavaliers","THREEPA",19.3
"513",2012,"Boston Celtics","THREEPA",15
"514",2012,"Detroit Pistons","THREEPA",13.9
"515",2012,"Toronto Raptors","THREEPA",16.3
"516",2012,"New Orleans Hornets","THREEPA",11.8
"517",2012,"Charlotte Bobcats","THREEPA",13.5
"518",2012,"League Average","THREEPA",18.4
"519",2013,"Denver Nuggets","THREEPA",18.5
"520",2013,"Houston Rockets","THREEPA",28.9
"521",2013,"Oklahoma City Thunder","THREEPA",19.4
"522",2013,"San Antonio Spurs","THREEPA",21.5
"523",2013,"Miami Heat","THREEPA",22.1
"524",2013,"Los Angeles Lakers","THREEPA",24.6
"525",2013,"Golden State Warriors","THREEPA",19.9
"526",2013,"Dallas Mavericks","THREEPA",19.9
"527",2013,"Los Angeles Clippers","THREEPA",21.4
"528",2013,"Sacramento Kings","THREEPA",20.5
